"filename", "language", "Markdown", "Ini", "XML", "JSON", "Batch", "TypeScript", "JSON with Comments", "TypeScript JSX", "Properties", "Java", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/logging/controller/ActivityLogController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 5, 38, 209
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/logging/dto/ActivityLogResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/logging/entity/ActivityLog.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 11, 41
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/logging/entity/ActivityType.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 6, 11, 53
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/logging/repository/ActivityLogRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 2, 9, 55
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/logging/service/ActivityLogService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 24, 50, 319
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/message/ApiResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/message/GenericMessage.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/message/Messages.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"/Users/atylmaz/Desktop/Github/Akilha/backend/src/main/java/com/akilha/message/ResponseBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 11, 44
